id_cliente;nombre;apellido;edad;email;telefono;calle;numero;piso_dto;cp;ciudad;provincia;pais;genero
82;Concepcion;Garcia;66;Concepcion_Garcia@gmail.com;9719460997;Belgrano;50;3 E;1052;Balvanera;Capital Federal;Argentina;femenino
83;Dominica;Lopez;20;DominicaLopez@hotmail.com;9619414462;Independencia;43463;;5835;Bella Vista;Cordoba;Argentina;femenino
84;Antonia;Martinez;44;Antonia_Martinez@sodimac.com;9512589230;Rivadavia;31196;;5062;Agua Blanca;La Rioja;Argentina;femenino
85;Luis;Rodriguez;25;Luis_Rodriguez@sodimac.com;1443784389;Rivadavia;2145;8 B;1053;San Nicolas;Capital Federal;Argentina;masculino
86;Natalia;Gonzalez;58;Natalia_Gonzalez@telegram.com;3508300293;Sarmiento;104;9 B;1054;Retiro;Capital Federal;Argentina;femenino
87;Julieta;Ramirez;33;Julieta_Ramirez@hotmail.com;7460732788;Sarmiento;849;13 B;1770;Aldo Bonzi;Buenos Aires;Argentina;femenino
88;Lucienne;Ramirez;54;LucienneRamirez@gmail.com;7017687396;San Martin;75;2 E;1055;San Nicolas;Capital Federal;Argentina;masculino
89;Maria;Lopez;31;MariaLopez@gmail.com;9149575635;Rivadavia;27;14 B;1904;La Plata;Buenos Aires;Argentina;femenino
90;Ruth;Ramirez;33;Ruth_Ramirez@sodimac.com;6378589992;Belgrano;24; C;1056;Recoleta;Capital Federal;Argentina;femenino
91;Oriana;Martinez;30;Oriana_Martinez@yahoo.com;7585923082;Belgrano;272;3 B;1057;Retiro;Capital Federal;Argentina;femenino
92;Elvira;Hernandez;25;Elvira_Hernandez@hotmail.com;9170242534;Belgrano;350;1 D;5551;Polvareda;Mendoza;Argentina;femenino
93;Luna;Lopez;35;Luna_Lopez@hotmail.com;6223275811;Belgrano;3;8;1058;Retiro;Capital Federal;Argentina;femenino
94;Aland;Rodriguez;18;AlandRodriguez@yahoo.com;5473037895;Belgrano;299;8;1059;Retiro;Capital Federal;Argentina;masculino
95;Lina;Perez;28;Lina_Perez@telegram.com;6986523696;Rivadavia;85;;2670;La Carlota;Cordoba;Argentina;femenino
96;Mariana;Garcia;59;MarianaGarcia@gmail.com;5806670708;San Martin;6302;18 C;1060;Recoleta;Capital Federal;Argentina;femenino
97;Alejandra;Ramirez;70;Alejandra_Ramirez@yahoo.com;5712989514;San Martin;5;14 D;3553;Ñandu;Santa Fe;Argentina;femenino
98;Jose;Garcia;67;Jose_Garcia@sodimac.com;3320829726;Rivadavia;69; C;1061;Recoleta;Capital Federal;Argentina;masculino
99;Laura;Ramirez;33;Laura_Ramirez@yahoo.com;2052209298;Sarmiento;285;19 E;1205;Almagro;Capital Federal;Argentina;femenino
100;Isabella;Ramirez;36;Isabella_Ramirez@yahoo.com;5373332356;Sarmiento;45;2;1397;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;femenino
101;Dora;Perez;59;Dora_Perez@telegram.com;5825500391;Sarmiento;5;1;1062;San Nicolas;Capital Federal;Argentina;femenino
102;Antonio;Torres;23;Antonio_Torres@gmail.com;7633403993;Sarmiento;5174;6;1063;San Telmo;Capital Federal;Argentina;masculino
103;Odelle;Hernandez;41;OdelleHernandez@sodimac.com;9351444163;Belgrano;347;19 E;3608;Campo Oswald;Formosa;Argentina;masculino
104;Leonor;Lopez;62;Leonor_Lopez@telegram.com;9163177390;Belgrano;213;7 B;1064;San Telmo;Capital Federal;Argentina;femenino
105;Dora;Sanchez;49;Dora_Sanchez@yahoo.com;5763002652;San Martin;12;11 E;9225;Lago Vintter;Chubut;Argentina;femenino
106;Fabiola;Rodriguez;73;Fabiola_Rodriguez@yahoo.com;2422847196;Sarmiento;177;16 B;1065;San Telmo;Capital Federal;Argentina;femenino
107;Miguel;Torres;59;Miguel_Torres@yahoo.com;6153645569;Sarmiento;5103;;8200;C Lia Y Allende;Buenos Aires;Argentina;masculino
108;Luz;Lopez;67;Luz_Lopez@yahoo.com;9676803383;Rivadavia;6398;1;1066;San Telmo;Capital Federal;Argentina;femenino
109;Manuel;Hernandez;24;Manuel_Hernandez@gmail.com;2160964204;Independencia;634;5 E;1067;Monserrat;Capital Federal;Argentina;masculino
110;Javier;Martinez;55;Javier_Martinez@hotmail.com;5779121044;Sarmiento;36;2 E;6651;Ing De Madrid;Buenos Aires;Argentina;masculino
111;Rebeca;Rodriguez;18;Rebeca_Rodriguez@telegram.com;1440656207;San Martin;2941;5 C;1068;Constitucion;Capital Federal;Argentina;femenino
112;Raychel;Torres;51;RaychelTorres@sodimac.com;7042625544;San Martin;24949;6 C;6310;Gral Manuel Campos;La Pampa;Argentina;masculino
113;Micky;Ramirez;72;MickyRamirez@telegram.com;4916137639;Sarmiento;986;1 D;5474;Barranquitas;La Rioja;Argentina;masculino
114;Javier;Rodriguez;30;Javier_Rodriguez@hotmail.com;7103266883;Sarmiento;99;15 E;1131;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;masculino
115;Idelle;Rodriguez;55;IdelleRodriguez@sodimac.com;4794155379;Independencia;31;7 E;1069;San Telmo;Capital Federal;Argentina;femenino
116;Renata;Garcia;52;Renata_Garcia@yahoo.com;7840815766;Rivadavia;28;18 C;1070;San Telmo;Capital Federal;Argentina;femenino
117;Lidia;Hernandez;53;Lidia_Hernandez@sodimac.com;6939419438;San Martin;69;5;1071;Constitucion;Capital Federal;Argentina;femenino
118;Magdalena;Gonzalez;33;Magdalena_Gonzalez@hotmail.com;5035477487;Rivadavia;20310;17 C;5808;Rio Cuarto;Cordoba;Argentina;femenino
119;Victoria;Hernandez;39;Victoria_Hernandez@telegram.com;4420863676;Rivadavia;94;19;1264;Parque Patricios;Capital Federal;Argentina;femenino
120;Aurora;Perez;52;Aurora_Perez@hotmail.com;3940224286;Belgrano;84;2 D;1072;Constitucion;Capital Federal;Argentina;femenino
121;Miriam;Sanchez;42;Miriam_Sanchez@yahoo.com;2032136368;Belgrano;2;19 C;1907;El Carmen;Buenos Aires;Argentina;femenino
122;Margarita;Rodriguez;29;Margarita_Rodriguez@gmail.com;6725071678;Independencia;2582;;1073;Constitucion;Capital Federal;Argentina;femenino
123;Laura;Hernandez;43;LauraHernandez@telegram.com;8920485488;Belgrano;63606;18;1074;Constitucion;Capital Federal;Argentina;femenino
124;Juana;Rodriguez;26;Juana_Rodriguez@telegram.com;9372952184;Rivadavia;6065;7;1609;Boulogne;Buenos Aires;Argentina;femenino
125;Lola;Perez;48;Lola_Perez@yahoo.com;9064471088;Sarmiento;37;2 D;1349;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;femenino
126;Sara;Gonzalez;43;Sara_Gonzalez@yahoo.com;2284604889;Sarmiento;5;18;1075;Constitucion;Capital Federal;Argentina;femenino
127;Elena;Gonzalez;22;Elena_Gonzalez@sodimac.com;6400851356;Rivadavia;78;19 E;1289;Barracas;Capital Federal;Argentina;femenino
128;Jose;Martinez;72;Jose_Martinez@telegram.com;8670922975;Belgrano;61887;14 D;4139;A A La Hoyada;Catamarca;Argentina;masculino
129;Enrichetta;Sanchez;49;EnrichettaSanchez@sodimac.com;1073993515;San Martin;85;5;1076;Constitucion;Capital Federal;Argentina;femenino
130;Lucienne;Hernandez;47;LucienneHernandez@sodimac.com;877853916;Belgrano;4492;11;1077;Constitucion;Capital Federal;Argentina;masculino
131;Carlos;Perez;26;Carlos_Perez@gmail.com;1108476767;Sarmiento;3221;1 B;5637;Costa Del Diamante;Mendoza;Argentina;masculino
132;Juan;Martinez;66;Juan_Martinez@gmail.com;8914592553;Independencia;4258; E;1078;Constitucion;Capital Federal;Argentina;masculino
133;Pedro;Lopez;72;Pedro_Lopez@telegram.com;570364663;Sarmiento;916;4 B;1340;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;masculino
134;Victoria;Martinez;42;Victoria_Martinez@hotmail.com;9503497523;San Martin;89925;8 D;1379;Ciudad Autonoma Buenos Aires;Capital Federal;Argentina;femenino
135;Wilt;Rodriguez;53;WiltRodriguez@gmail.com;4861450012;San Martin;140;7 E;1079;Monserrat;Capital Federal;Argentina;masculino
136;Emma;Garcia;22;Emma_Garcia@sodimac.com;4320700066;San Martin;61;3 D;1080;Balvanera;Capital Federal;Argentina;femenino
137;Aurora;Sanchez;74;Aurora_Sanchez@yahoo.com;7880191836;Independencia;69;17 D;1081;Balvanera;Capital Federal;Argentina;femenino
138;Obidiah;Martinez;61;ObidiahMartinez@sodimac.com;5437560907;Belgrano;8518;3;1082;Balvanera;Capital Federal;Argentina;femenino
139;Javier;Sanchez;31;Javier_Sanchez@yahoo.com;7055111722;Sarmiento;9075;15 D;8174;A Aguas Blancas;Buenos Aires;Argentina;masculino
140;Antonio;Perez;41;Antonio_Perez@sodimac.com;6604693899;San Martin;16;5 D;5750;Alto De La Leqa;San Luis;Argentina;masculino
141;Tiffanie;Lopez;57;TiffanieLopez@telegram.com;4787436643;San Martin;3428;2;1083;Balvanera;Capital Federal;Argentina;femenino
142;Yolanda;Gonzalez;72;Yolanda_Gonzalez@yahoo.com;1990415741;Rivadavia;295;15 D;1084;Monserrat;Capital Federal;Argentina;femenino
143;Mercedes;Perez;24;Mercedes_Perez@yahoo.com;2405042924;Belgrano;2;4 D;1085;Monserrat;Capital Federal;Argentina;femenino
144;Carlos;Perez;40;Carlos_Perez@sodimac.com;805840109;Independencia;6341;13 B;1086;Monserrat;Capital Federal;Argentina;masculino
145;Miriam;Hernandez;70;Miriam_Hernandez@sodimac.com;411579614;Independencia;19;18;5237;Carrizal Tama;Cordoba;Argentina;femenino
146;Diego;Sanchez;30;DiegoSanchez@telegram.com;9957278371;San Martin;5498;14;1087;Monserrat;Capital Federal;Argentina;masculino
147;Coralyn;Sanchez;34;CoralynSanchez@sodimac.com;7156620037;Rivadavia;92;15 B;6015;C Los Bosques;Cordoba;Argentina;femenino
148;Irene;Gonzalez;40;Irene_Gonzalez@yahoo.com;8232770546;Rivadavia;605;9;1088;Monserrat;Capital Federal;Argentina;femenino
149;Diego;Perez;63;DiegoPerez@hotmail.com;7956968771;Sarmiento;8739;15 B;1089;Monserrat;Capital Federal;Argentina;masculino
150;Micky;Torres;35;MickyTorres@sodimac.com;9788648487;Rivadavia;9;3 C;1090;Balvanera;Capital Federal;Argentina;masculino
151;Torrey;Perez;26;TorreyPerez@telegram.com;4075819981;Sarmiento;963;8;4701;Acostilla;Catamarca;Argentina;masculino
152;Pablo;Lopez;24;PabloLopez@hotmail.com;7246774432;Rivadavia;32714;2 B;1091;Monserrat;Capital Federal;Argentina;masculino
153;Minne;Lopez;23;MinneLopez@telegram.com;8099076052;San Martin;82; C;9212;Cushamen;Chubut;Argentina;femenino
154;Harold;Rodriguez;60;HaroldRodriguez@sodimac.com;2345296224;Independencia;95;1 E;1092;Monserrat;Capital Federal;Argentina;masculino
155;Pilar;Lopez;54;Pilar_Lopez@gmail.com;771420218;San Martin;6145;1 B;3316;Santa Ana;Misiones;Argentina;femenino
156;Javier;Lopez;24;Javier_Lopez@sodimac.com;2099358311;San Martin;93702;19 C;1093;Monserrat;Capital Federal;Argentina;masculino
157;Dolores;Torres;48;Dolores_Torres@hotmail.com;544984447;Belgrano;14945;18 A;6381;Campo Caretto;La Pampa;Argentina;femenino
158; Maria;Martinez;72; MariaMartinez@gmail.com;6072354572;San Martin;868;1 D;1094;Balvanera;Capital Federal;Argentina;femenino
159;Carlos;Martinez;42;Carlos_Martinez@sodimac.com;9050899757;Independencia;637; D;1095;Monserrat;Capital Federal;Argentina;masculino
160;Leticia;Hernandez;44;Leticia_Hernandez@gmail.com;7980653556;Independencia;38525;18 C;5520;Barrio Quimicos M.D.C.1;Mendoza;Argentina;femenino
161;Rafaela;Torres;42;Rafaela_Torres@gmail.com;3702588787;Belgrano;0;15 C;1096;Monserrat;Capital Federal;Argentina;femenino
162;Luisa;Sanchez;56;Luisa_Sanchez@yahoo.com;9309845414;Belgrano;74;13 E;3752;El Mistol;Santiago Del Estero;Argentina;femenino
163;Rebeca;Torres;18;Rebeca_Torres@hotmail.com;8928817986;Independencia;1957;11 E;1097;Monserrat;Capital Federal;Argentina;femenino
164;Miguel;Garcia;27;Miguel_Garcia@sodimac.com;6694808895;San Martin;71916;13;1098;San Telmo;Capital Federal;Argentina;masculino
165; Pablo;Rodriguez;32; PabloRodriguez@telegram.com;8682929376;Independencia;0;19 A;1099;San Telmo;Capital Federal;Argentina;masculino
166;Carlos;Lopez;46;Carlos_Lopez@sodimac.com;3383910369;Sarmiento;71;1 D;1100;Constitucion;Capital Federal;Argentina;masculino
167;Ursula;Lopez;63;Ursula_Lopez@gmail.com;8542655427;San Martin;8;4 B;4126;Alem;Salta;Argentina;femenino
168;Mia;Sanchez;64;Mia_Sanchez@telegram.com;729326764;San Martin;89106;;4451;Coronel Mollinedo;Salta;Argentina;femenino
169;Fernanda;Gonzalez;71;Fernanda_Gonzalez@sodimac.com;3571743814;Rivadavia;7;17 A;5326;Santa Vera Cruz;La Rioja;Argentina;femenino
170;Guadalupe;Perez;46;Guadalupe_Perez@yahoo.com;2558212699;Sarmiento;445;6 E;1101;San Telmo;Capital Federal;Argentina;femenino
171;Rosa;Lopez;47;Rosa_Lopez@gmail.com;8891518247;San Martin;1; B;1102;San Telmo;Capital Federal;Argentina;femenino
172;Flor;Hernandez;61;Flor_Hernandez@telegram.com;5880924203;Belgrano;736;1 E;1103;San Telmo;Capital Federal;Argentina;femenino
173;Leticia;Ramirez;37;Leticia_Ramirez@hotmail.com;1187964123;Belgrano;57;5 D;1104;Zona Puerto;Capital Federal;Argentina;femenino
174;Carlos;Gonzalez;41;Carlos_Gonzalez@yahoo.com;1808066235;Independencia;8652;9 C;1105;Comunicaciones;Capital Federal;Argentina;masculino
175;Emmie;Rodriguez;35;EmmieRodriguez@hotmail.com;7950548924;Sarmiento;64;;7225;Casalins;Buenos Aires;Argentina;femenino
176;Juan;Gonzalez;49;Juan_Gonzalez@gmail.com;7936191526;Sarmiento;5774;2 E;1106;Zona Puerto;Capital Federal;Argentina;masculino
177;Goober;Perez;24;GooberPerez@sodimac.com;4501964081;Independencia;5; E;1107;Zona Puerto;Capital Federal;Argentina;masculino
178;Carmen;Lopez;69;Carmen_Lopez@hotmail.com;5976726275;Sarmiento;79;;1108;Monserrat;Capital Federal;Argentina;femenino
179;Jose;Garcia;37;Jose_Garcia@yahoo.com;8078521421;Sarmiento;4;2 B;1109;Monserrat;Capital Federal;Argentina;masculino
180;Susana;Hernandez;35;Susana_Hernandez@sodimac.com;9637847855;San Martin;441;5 E;1110;Monserrat;Capital Federal;Argentina;femenino
181;Cara;Garcia;73;CaraGarcia@sodimac.com;1477956786;Sarmiento;5990;;1111;Recoleta;Capital Federal;Argentina;femenino
182;Emmie;Hernandez;45;EmmieHernandez@gmail.com;2006614185;Independencia;9;;1112;Recoleta;Capital Federal;Argentina;femenino
183;Dew;Garcia;47;DewGarcia@telegram.com;4311924690;Sarmiento;27;2 B;1113;Recoleta;Capital Federal;Argentina;masculino
184;Victoria;Sanchez;66;Victoria_Sanchez@gmail.com;3175357318;Rivadavia;86;1 E;1114;Recoleta;Capital Federal;Argentina;femenino
185;Ana;Garcia;51;Ana_Garcia@yahoo.com;3905463644;Independencia;76;2;3763;Kilometro 450;Santiago Del Estero;Argentina;femenino
186;Aimil;Garcia;19;AimilGarcia@telegram.com;2558908502;Independencia;72382;2 E;1115;Recoleta;Capital Federal;Argentina;masculino
187;Luz;Garcia;46;LuzGarcia@hotmail.com;7886658434;Belgrano;8;17 B;2322;Cabaqa El Cisne;Santa Fe;Argentina;femenino
188;Gisela;Sanchez;42;Gisela_Sanchez@telegram.com;8763610604;Belgrano;83;16 C;1116;Recoleta;Capital Federal;Argentina;femenino
189;Rosa;Garcia;68;Rosa_Garcia@sodimac.com;4086025337;Belgrano;8; E;3420;Angua;Corrientes;Argentina;femenino
